(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,df,logLik,AICc,delta,weight
-69.28566890683341,218.27681131656018,0.04454045338814748,311.95490564082917,NA,-639.8483125806395,NA,6,-440.7292294645551,894.2435056580821,0,0.375641284437304
-108.21797082460952,311.4613428038941,0.1228951938835363,273.1932780283929,-0.18695996132048673,-546.0660672659463,NA,7,-440.010288447725,895.0771806690349,0.8336750109527884,0.247595694514651
-77.95754427602562,202.65919836022653,0.06596572616746127,334.2950925041077,NA,-603.785962740612,-0.05259605115943631,7,-440.59587724078045,896.2483582551458,2.0048525970637456,0.137855820323475
-109.72803613528153,301.21390135538877,0.12744816929712896,283.49382423473384,-0.17834136430335623,-536.6461912120081,-0.02004398613643653,8,-439.992233183172,897.3558949377726,3.1123892796905466,0.0792367350294556
-48.88798123363062,160.43892063023392,0.17017607022973172,50.22962380523206,-0.296442405601625,NA,NA,6,-442.4253192329765,897.6356851949249,3.392179536842832,0.0688923326021569
37.70811273634426,-49.55867028912699,0.04636026599288652,51.057297737787174,NA,NA,NA,5,-444.3315202622383,899.2185960800322,4.975090421950085,0.0312209531985753
-57.06151227598883,135.78399319057158,0.18223331312907123,95.86905882655738,-0.262544662738693,NA,-0.06466468860428908,7,-442.23759230913123,899.5317883918474,5.2882827337653,0.0266954540438001
2.9546126038439717,-50.79305968046864,0.09676376363759685,138.62480965563267,NA,NA,-0.12432872502152653,6,-443.565751697313,899.9165501235979,5.673044465515773,0.0220235519629002
24.831672996237646,NA,0.041075364856948515,39.69597535767041,NA,NA,NA,4,-447.08726977475294,902.5415120265701,8.298006368488018,0.00592767150911962
-6.926635544401255,NA,0.08659453137645744,118.72863335476613,NA,NA,-0.11257470028552138,5,-446.4885779980599,903.5327115516753,9.289205893593248,0.00361116960604166
-44.257662221931824,194.81083234018067,0.17811786685191613,NA,-0.31184146141165087,NA,NA,5,-448.2303267308449,907.0162090172454,12.772703359163302,0.000632726498352734
38.3197520220858,NA,0.044629806012198944,NA,NA,NA,NA,3,-450.8993513579493,908.0168845340804,13.773378875998333,0.000383638421472071
46.9951391073008,-25.688278613332894,0.0478964994067883,NA,NA,NA,NA,4,-450.13708655015455,908.6411455773733,14.397639919291237,0.000280779587830359
-69.40113232997118,291.91606126389587,NA,359.1202261344214,NA,-745.5467928956081,NA,5,-454.07271943346154,918.7009944224786,24.457488764396544,1.83610329965628e-06
50.009938533821156,NA,NA,50.49371836817164,NA,NA,NA,3,-458.30081632013224,922.8198144584463,28.576308800364245,2.34156762212351e-07
56.10889384644698,-18.75507502897692,NA,55.31907831761413,NA,NA,NA,4,-457.95918215590166,924.2853367888675,30.041831130785454,1.12531102469766e-07
70.41876127254382,NA,NA,NA,NA,NA,NA,2,-463.42908542301933,930.9662789541468,36.7227732960647,3.98588179852648e-09
66.86149424362739,8.288528113045706,NA,NA,NA,NA,NA,3,-463.3594953789611,932.9371725761041,38.69366691802202,1.48781969479242e-09
