(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,EVI:GDD:NDMI,df,logLik,AICc,delta,weight
45.01861691804673,NA,0.008514863827616244,12.166820516158397,NA,NA,-0.013365363783806008,NA,5,-118.64308861843223,247.84173279242,0,0.817326992780786
48.789103055051214,NA,0.0031106280790345942,2.7837155889124694,NA,NA,NA,NA,4,-121.25229779267558,250.87156806241538,3.029835269995374,0.179669960617523
49.73496659689467,NA,0.0033598864273832697,NA,NA,NA,NA,NA,3,-126.85755955279703,259.93330092377585,12.091568131355842,0.00193528612752256
49.58143128177166,0.4546261640114859,0.003302073122360449,NA,NA,NA,NA,NA,4,-126.7876961334103,261.9423647438848,14.100631951464806,0.000708732776844706
47.071357898869685,6.519853108235254,0.0068840474129886154,NA,-0.008577763537916535,NA,NA,NA,5,-126.37353087873589,263.3026173130273,15.460884520607323,0.000359010727417354
44.59955715290097,15.321224307831333,NA,17.119490305784186,NA,-33.92270741485325,NA,NA,5,-137.0691871640904,284.69392988373636,36.852197091316356,8.12910850897695e-09
50.69584740255388,NA,NA,3.6014262219315403,NA,NA,NA,NA,3,-139.56193983585158,285.34206148988494,37.50032869746494,5.87899283091918e-09
50.31031861842493,1.185550787230769,NA,3.2964042863810374,NA,NA,NA,NA,4,-139.1956765010381,286.7583254791404,38.916592686720406,2.89577699002882e-09
50.951054493225676,2.7970499666768935,NA,NA,NA,NA,NA,NA,3,-144.35287494616313,294.9239317105081,47.082198918088096,4.88232009240961e-11
52.15149122807019,NA,NA,NA,NA,NA,NA,NA,2,-146.4509272534059,297.0099626149199,49.16822982249991,1.72048303112899e-11
