(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,df,logLik,AICc,delta,weight
-2.47097787948448,-14.305201330794828,0.025675878327227744,-58.67971621617799,-0.059155233347900536,145.12057845565502,7,708.1163643516285,-1401.1761249296721,0,0.57651482385441
9.360589420454707,-40.06223130516239,NA,-42.98806173716955,NA,105.2764460516554,5,704.2601179709205,-1397.9646803862854,3.211444543386733,0.115732186086597
8.47007891561001,-39.81989602543189,0.001008597625453831,-42.45309179228841,NA,104.32627061255575,6,704.794547101455,-1396.804047473938,4.372077455734143,0.0647777593831428
-6.67885351681945,NA,NA,NA,NA,NA,2,700.3116067298441,-1396.5151053515801,4.661019578092009,0.0560638524709271
-8.09105427619508,3.252302729090773,NA,NA,NA,NA,3,701.053196213922,-1395.888210609662,5.287914320010032,0.0409783505923059
-7.573851970177941,NA,0.0012228947206129339,NA,NA,NA,3,701.0113595600368,-1395.8045373018917,5.3715876277804,0.0392993209077891
-8.69992664976139,2.8701090821893938,0.0010584203402429942,NA,NA,NA,4,701.5845323903584,-1394.8020923036527,6.374032626019471,0.0238071210547601
-7.087945927892484,NA,NA,1.003445515021447,NA,NA,3,700.4702406577516,-1394.7222994973213,6.453825432350868,0.0228760002444894
-8.002384810426351,NA,0.0012259666391183633,1.0456191542297413,NA,NA,4,701.1795941343462,-1393.9922157916283,7.183909138043873,0.0158797781273837
-15.72646526212786,19.8183513046136,0.010931659487920827,NA,-0.02366266316459386,NA,5,702.2730767200367,-1393.9905978845177,7.185527045154458,0.0158669373189194
-8.115540133242995,4.043617756625674,NA,-0.7827376993447062,NA,NA,4,701.1096111058396,-1393.852249734615,7.323875195057099,0.0148064582730266
-8.696106924382908,3.36001689219771,0.001029600230504539,-0.47945348901661455,NA,NA,5,701.6045643522008,-1392.653573148846,8.522551780826234,0.00813133537226578
-15.698456022689845,20.14809734223911,0.010875519824515272,-0.3805749934901834,-0.023584206244397506,NA,6,702.2848703292062,-1391.7846939294404,9.391431000231705,0.00526607631398275
