"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"31","BEPA.Qty_P31",2,-1224.0804417339,0,1,0.274394069567794,614.102720866952,0.274394069567794
"30","BEPA.Qty_P30",3,-1222.85223466904,1.22820706486777,0.541125779645943,0.148481704825095,614.552433123992,0.422875774392889
"27","BEPA.Qty_P27",3,-1222.6887864595,1.39165527440605,0.4986615662866,0.13682977651043,614.470709019223,0.55970555090332
"28","BEPA.Qty_P28",3,-1222.57561522557,1.50482650833305,0.471227986566831,0.12930216492831,614.414123402259,0.68900771583163
"29","BEPA.Qty_P29",3,-1222.4175942893,1.66284744460222,0.435428914951284,0.119479111980972,614.335112934125,0.808486827812602
"23","BEPA.Qty_P23",5,-1220.43551765862,3.64492407528178,0.161627328103548,0.0443495803117017,615.540339474473,0.852836408124303
"18","BEPA.Qty_P18",5,-1219.88055133554,4.19989039836878,0.122463139149006,0.0336031591231429,615.262856312929,0.886439567247446
"25","BEPA.Qty_P25",5,-1219.40428817258,4.67615356132455,0.0965130756683707,0.0264826155991487,615.024724731451,0.912922182846595
"24","BEPA.Qty_P24",5,-1219.09450250595,4.98593922794976,0.0826641211933828,0.0226825446214976,614.869831898139,0.935604727468093
"19","BEPA.Qty_P19",5,-1219.0333489472,5.04709278670202,0.0801747707039895,0.0219994816101324,614.839255118763,0.957604209078225
"17","BEPA.Qty_P17",5,-1218.49189158471,5.58855014919777,0.0611591941197068,0.016781720165993,614.568526437515,0.974385929244218
"26","BEPA.Qty_P26",5,-1218.11327283024,5.96716890366793,0.0506110953095342,0.0138873844072666,614.37921706028,0.988273313651485
"10","BEPA.Qty_P10",9,-1216.28897632872,7.79146540518195,0.0203284742653608,0.00557801278177651,618.155724119418,0.993851326433261
"20","BEPA.Qty_P20",9,-1214.35519804635,9.72524368755376,0.00773018994857758,0.00212111827852226,617.188834978232,0.995972444711783
"8","BEPA.Qty_P8",9,-1213.37401635591,10.7064253779943,0.00473292114443212,0.00129868549376419,616.698244133011,0.997271130205548
"7","BEPA.Qty_P7",9,-1212.76363907646,11.3168026574415,0.00348808875054983,0.000957110867277008,616.393055493288,0.998228241072825
"12","BEPA.Qty_P12",9,-1212.35758504157,11.7228566923379,0.00284717402681927,0.000781247667986663,616.19002847584,0.999009488740811
"22","BEPA.Qty_P22",9,-1211.46149064249,12.6189510914171,0.0018189869646154,0.000499119235711589,615.7419812763,0.999508607976523
"21","BEPA.Qty_P21",9,-1210.19428565453,13.8861560793785,0.000965293807060954,0.000264870896048044,615.108378782319,0.999773478872571
"16","BEPA.Qty_P16",9,-1209.85958870392,14.2208530299886,0.000816546648434317,0.000224055557855835,614.941030307014,0.999997534430427
"11","BEPA.Qty_P11",17,-1198.64118948838,25.4392522455273,2.99182759123202e-06,8.20939748203364e-07,620.098372521966,0.999998355370175
"2","BEPA.Qty_P2",17,-1198.39729813403,25.6831435998724,2.64835517345371e-06,7.26692953704885e-07,619.976426844794,0.999999082063129
"9","BEPA.Qty_P9",17,-1197.77435834175,26.3060833921534,1.93957497086198e-06,5.32207869486655e-07,619.664956948653,0.999999614270998
"13","BEPA.Qty_P13",16,-1196.56928532413,27.5111564097729,1.06176471900063e-06,2.91341942170089e-07,617.601715832798,0.99999990561294
"15","BEPA.Qty_P15",17,-1193.12711163763,30.9533300962737,1.89919593181958e-07,5.21128100638573e-08,617.341333596593,0.99999995772575
"14","BEPA.Qty_P14",17,-1192.70864630025,31.371795433651,1.54064003023198e-07,4.22742487634403e-08,617.132100927905,0.999999999999999
"3","BEPA.Qty_P3",31,-1157.18900796328,66.8914337706246,2.98338782733716e-15,8.18623927042061e-16,624.400474130894,1
"5","BEPA.Qty_P5",31,-1152.30180699524,71.7786347386673,2.59100056222405e-16,7.10955188521099e-17,621.956873646872,1
"6","BEPA.Qty_P6",33,-1150.92443260516,73.156009128742,1.30129109748993e-16,3.57066559932602e-17,625.72375476412,1
"4","BEPA.Qty_P4",33,-1149.90099204106,74.1794496928401,7.80076444356631e-17,2.14048350140991e-17,625.212034482071,1
"1","BEPA.Qty_P1",57,-998.585359230555,225.49508250335,1.08234318324019e-49,2.96988550718236e-50,636.926825956741,1
